date,000001.XSHE,000858.XSHE,600519.XSHG,601318.XSHG,000651.XSHE
2014-02-20,5.1077007035130695,11.641309252874125,95.58991632652122,13.170410394620037,7.984553292284712
2014-02-21,5.038208176934661,11.75182801160394,95.64765907750711,13.324031044635047,7.8684612411852575
2014-02-24,4.847103728844036,11.611837583879506,94.71094333929165,13.259168992406488,7.318958865981172
2014-02-25,4.786297768087928,11.132922962716965,91.3426161984484,12.8495139256998,7.166749287872999
2014-02-26,4.825387314288283,11.125555045468309,91.12447691694616,12.801720834584016,7.241564165248203
2014-02-27,4.88184999213324,11.125555045468309,92.99790839337707,12.972410445711803,6.800414371070275
2014-02-28,4.8340738801105845,11.250809638695436,96.25075003224856,13.143100056839591,7.159009817799701
2014-03-03,4.794984333910228,11.626573418376816,99.4009378915896,12.965582861266691,7.257043105394796
2014-03-04,4.768924636443326,11.71498842536067,98.41931112482956,12.962169069044135,7.223505401743843
2014-03-05,4.647312714931109,11.913922191074342,102.5511257509306,12.856341510144908,7.063556353562372
2014-03-06,4.677715695309163,11.869714687582412,103.93695177459183,12.921203562373467,7.20802646159725
2014-03-07,4.690745544042615,11.906554273825686,106.17608734060002,12.81537600347424,7.161589641157468
2014-03-10,4.477924681396237,11.383432149171217,100.690525996941,12.35110026120666,7.01711953312259
2014-03-11,4.447521701018183,12.22337471551783,104.0524372765636,12.357927845651773,7.169329111230764
2014-03-12,4.495297813040839,12.326525556998993,101.71064793102497,12.405720936767556,7.264782575468094
2014-03-13,4.5865067541750015,13.114892702605026,105.77830394491949,12.542272625669783,7.215765931670545
2014-03-14,4.482267964307388,12.952798523134623,105.1367178228541,12.521789872334448,7.117732644075451
2014-03-17,4.547417207974647,13.085421033610409,106.80484174022408,12.57641054789534,7.182228228019592
2014-03-18,4.508327661774292,13.28435479932408,109.91653443224118,12.409134728990107,7.068716000277903
2014-03-19,4.447521701018183,12.930694771388664,111.8733721045406,12.289652001200658,6.93972483238962
2014-03-20,4.386715740262075,12.540195157209974,108.54354013102127,12.32037613120366,6.826212604647932
2014-03-21,4.686402261131464,12.820176012658845,109.96786132200644,12.801720834584016,6.996480946260466
2014-03-24,4.686402261131464,13.100156868107716,109.89728684857924,12.887065640147911,6.916506422169729
2014-03-25,4.603879885819604,12.709657253929027,107.02298102172632,12.682238106794568,7.001640592975996
2014-03-26,4.647312714931109,12.591770577950555,101.68498448614235,12.692479483462234,6.999060769618231
2014-03-27,4.677715695309163,12.56966682620459,101.15246800482808,12.692479483462234,6.898447658665369
2014-03-28,4.682058978220313,12.230742632766486,97.93170567205983,12.757341535690792,7.120312467433217
2014-03-31,4.677715695309163,12.282318053507067,99.25337308351452,12.822203587919354,7.223505401743843
2014-04-01,4.690745544042615,12.69492141943172,104.25132897440388,12.869996679035134,7.306059749192344
2014-04-02,4.738521656065271,12.731761005674992,106.27232525890982,13.139686264617035,7.277681692256922
2014-04-03,4.677715695309163,12.665449750437102,106.06060183862824,13.163582810174928,7.197707168166186
2014-04-04,4.686402261131464,12.650713915939791,105.25861918604652,13.286479330186934,7.344757099558828
2014-04-08,4.899223123777842,12.687553502183064,105.5665805246379,13.61761717577484,7.607899082050926
2014-04-09,4.860133577577487,12.76860059191826,104.80309303938007,13.4742379024275,7.726570956508146
2014-04-10,4.933969387067046,12.857015598902118,108.75526355130285,14.43351351696566,7.793646363810054
2014-04-11,4.951342518711649,13.387505640805244,112.9704843732724,14.068237749152198,8.077426933164276
2014-04-14,4.899223123777842,13.24014729583215,111.86695624331996,13.931686060249968,8.023250642651197
2014-04-15,4.764581353532175,12.967534357631935,111.95036243918844,13.679065435780844,7.770427953590163
2014-04-16,4.773267919354476,12.97490227488059,109.7240585956216,13.720030942451512,7.852982301038664
2014-04-17,4.734178373154121,13.01910977837252,112.40588858585488,13.518617201320724,7.703352546288255
2014-04-18,4.690745544042615,13.011741861123864,112.47646305928208,13.508375824653056,7.6569157258484735
2014-04-21,4.642969432019958,12.658081833188444,110.38489230134893,13.283065537964376,7.48664738423594
2014-04-22,4.80367089973253,12.591770577950555,110.43621919111416,13.402548265753827,7.610478905408692
2014-04-23,4.907909689600144,13.04121353011848,112.9576526508311,13.30354829129971,7.809125303956647
2014-04-24,4.877506709222089,13.166468123345608,112.76517681421149,13.49130686354028,7.70077272293049
2014-04-25,4.88619327504439,12.702289336680373,105.66281844294772,13.317203460189932,7.602739435335394
2014-04-28,4.790641050999078,12.68018558493441,104.44380481102348,13.003134575714808,7.545983321464551
2014-04-29,4.847103728844036,12.945430605885972,104.9570737086758,13.344513797970382,7.86072177111196
2014-04-30,4.838417163021735,12.967534357631935,105.14313368407474,13.36158275908316,7.767848130232396
2014-05-05,4.773267919354476,12.628610164193828,102.81417606097742,13.382065512418494,7.754949013443568
2014-05-06,4.755894787709873,12.56966682620459,103.16063256689272,13.494720655762832,7.7214113097926145
2014-05-07,4.712461958598368,12.525459322712663,103.07722637102422,13.436686187979385,7.5485631448223165
2014-05-08,4.747208221887572,12.459148067474777,103.08364223224488,13.43327239575683,7.535664028033488
2014-05-09,4.79932761682138,12.459148067474777,103.0515629261416,13.402548265753827,7.6130587287664575
2014-05-12,4.925282821244745,12.63597808144248,103.23762290154056,13.67223785133573,7.664655195921771
2014-05-13,4.877506709222089,12.717025171177683,103.12855326078946,13.627858552442508,7.594999965262098
2014-05-14,4.912252972511294,12.488619736469392,99.61907717309182,13.610789591329729,7.58210084847327
2014-05-15,4.860133577577487,12.326525556998993,100.18367296050936,13.528858577988393,7.543403498106784
2014-05-16,4.894879840866691,12.392836812236885,99.54850269966462,13.494720655762832,7.589840318546567
2014-05-19,4.894879840866691,12.083384287793391,94.94191434323515,13.214789693513262,7.5047061477403
2014-05-20,4.88184999213324,11.854978853085104,93.01715597703902,13.238686239071152,7.538243851391253
2014-05-21,4.920939538333595,12.112855956788014,96.87950443187265,13.371824135750828,7.556302614895612
2014-05-22,4.946999235800499,12.07601637054474,96.26999761591053,13.358168966860603,7.543403498106784
2014-05-23,5.02952161111236,12.15706346027994,97.71356639055765,13.446927564647051,7.558882438253379
2014-05-26,5.02952161111236,12.22337471551783,98.52838076558066,13.402548265753827,7.708512193003786
2014-05-27,5.02952161111236,12.245478467263794,98.29099390041648,13.405962057976383,7.705932369646021
2014-05-28,5.038208176934661,12.407572646734192,98.76576763074486,13.597134422439504,7.958755058707056
2014-05-29,4.994775347823155,12.370733060490918,98.99032277346774,13.64834130577784,7.971654175495884
2014-05-30,4.994775347823155,12.363365143242266,98.3038256228578,13.614203383552285,7.987133115642478
2014-06-03,4.999118630734305,12.311789722501684,98.01511186792835,13.621030967997395,8.005191879146837
2014-06-04,4.920939538333595,12.171799294777248,96.97574235018244,13.423031019089162,7.865881417827492
2014-06-05,4.964372367445101,12.400204729485536,99.29828411205914,13.583479253549282,8.028410289366729
2014-06-06,4.942655952889348,12.488619736469392,98.54121248802196,13.470824110204944,7.982329046097197
2014-06-09,4.986088782000854,12.473883901972084,98.31024148407845,13.552755123546282,7.892883593288638
2014-06-10,5.103357420601919,12.820176012658845,99.31753169572109,13.808789540237962,7.971487173029494
2014-06-11,5.1163872693353705,12.901223102394043,98.76576763074486,13.69954818911618,7.982329046097197
2014-06-12,5.130476045717112,12.915958936891354,97.9252898108392,13.644927513555285,7.914567339424046
2014-06-13,5.34710788698838,13.04121353011848,98.04077531281098,13.938513644695078,8.031117474901865
2014-06-16,5.352391590434021,12.871751433399426,99.07372896933624,13.96241019025297,8.079905903706534
2014-06-17,5.304838259423254,12.63597808144248,98.28457803919582,13.784892994680073,7.995881387431828
2014-06-18,5.2097315974017215,12.650713915939791,98.53479662680132,13.740513695786849,7.949803426894085
2014-06-19,5.167461969836596,12.658081833188444,97.98944842304574,13.590306837994394,7.941672022093307
2014-06-20,5.204447893956081,12.554930991707282,98.27816217797518,13.66541026689062,7.873910315420156
2014-06-23,5.162178266390956,12.709657253929027,100.2863267400398,13.54592753910117,7.819700950081635
2014-06-24,5.178029376727879,12.989638109377898,104.94424198623447,13.566410292436505,7.909146402890194
2014-06-25,5.162178266390956,12.886487267896737,103.13598142713668,13.457168941314722,7.88475218848786
2014-06-26,5.188596783619159,13.070685199113097,102.70815165112592,13.552755123546282,7.968776704762567
2014-06-27,5.188596783619159,13.144364371599645,101.7944812820182,13.421458669953571,7.957934831694863
2014-06-30,5.236150114629925,13.210675626837531,102.9546976237423,13.583745409724044,7.982329046097197
2014-07-01,5.2097315974017215,13.042068881313552,102.80241922889104,13.56302795358313,7.670625195400703
2014-07-02,5.225582707738645,13.088072651618008,103.02721114510008,13.618274503292229,7.594732083926773
2014-07-03,5.262568631858129,13.348760683343263,103.88287069712158,13.656256506217227,7.616415830062182
2014-07-04,5.236150114629925,13.31042420808955,103.92637880993624,13.770202514992242,7.5974425521937
2014-07-07,5.2097315974017215,13.509773879408865,104.5354923893414,13.825449064701338,7.480892416715879
2014-07-08,5.246717521521207,13.594114124967035,103.09972466645785,13.83926070212861,7.586600679125994
2014-07-09,5.098773825043268,13.272087732835836,102.41809756569492,13.711503055926327,7.437524924445063
2014-07-10,5.109341231934549,13.58644682991629,102.2730705229794,13.604462865864951,7.437524924445063
2014-07-11,5.109341231934549,13.732125435880404,102.87493275024876,13.60791577522177,7.502576162851287
2014-07-14,5.1357597491627525,14.537191416208405,108.60350093751153,13.79782578984679,7.624547234862959
2014-07-15,5.1357597491627525,14.728873792476971,111.53304720036488,13.787467061776336,7.589311147392921
2014-07-16,5.077639011260705,14.69053731722326,112.0841499626838,13.714955965283146,7.5703378695244385
2014-07-17,5.067071604369423,14.353176334990572,111.4895390875502,13.780561243062696,7.608284425261403
2014-07-18,5.072355307815064,14.79787944793366,116.73226668171598,13.746032149494512,7.762781116476188
2014-07-21,5.045936790586861,14.529524121157658,116.73226668171598,13.763296696278603,7.776333457810819
2014-07-22,5.141043452608393,14.943558053897773,118.34206685585818,13.88760143312407,7.798017203946227
2014-07-23,5.156894562945315,14.93589075884703,118.8424101532267,14.184551637810465,7.814280013547783
2014-07-24,5.368242700770943,14.951225348948515,118.58136147633878,14.567824576417316,7.995881387431828
2014-07-25,5.399944921444788,15.050900184608173,118.83515880109093,14.65414731033778,8.044669816236496
2014-07-28,5.695832314400666,15.349924691587145,119.10345883011462,15.134101710935555,8.272349150658284
2014-07-29,5.716967128183229,14.974227234100743,116.7902774988022,15.16863080450374,8.161219951714315
2014-07-30,5.679981204063743,14.74420838257846,114.9411827041794,15.165177895146922,8.13140480077813
2014-07-31,5.743385645411432,14.866885103390343,116.21742068007592,15.406881550124217,8.196456039184355
2014-08-01,5.65356268683554,14.79787944793366,118.18253710887112,15.096119708010551,8.196456039184355
2014-08-04,5.775087866085276,15.089236659861886,119.21222911215126,15.572621199251508,8.334689920797583
2014-08-05,5.716967128183229,14.951225348948515,120.55372925726977,15.358540819128756,8.27505961892521
2014-08-06,5.6271441696073365,14.866885103390343,118.42908308148748,15.07885516122646,8.125983864244278
2014-08-07,5.547888617922727,14.544858711259144,116.45671530055652,14.8440573249628,8.006723260499532
